##
## Created by M. Vincenzi on Dec 2021
## PDF for SALT2x1, SALTc as a function of Mass

VARNAMES: SALT2x1 LOGMASS PROB
PDF: 2.100 9.20 0.000
PDF: 2.200 9.20 0.000
PDF: 2.300 9.20 0.000
PDF: 2.400 9.20 0.000
PDF: 2.500 9.20 0.000
PDF: 2.600 9.20 0.000
PDF: 2.700 9.20 0.000
PDF: 2.800 9.20 0.000
PDF: 2.900 9.20 0.000
PDF: 3.000 9.20 0.000
PDF: 3.100 9.20 0.000
PDF: 3.200 9.20 0.000
PDF: 3.300 9.20 0.000
PDF: 3.400 9.20 0.000
PDF: 3.500 9.20 0.000
PDF: 3.600 9.20 0.000
PDF: 3.700 9.20 0.000
PDF: 3.800 9.20 0.000
PDF: 3.900 9.20 0.000
PDF: 4.000 9.20 0.000
PDF: 4.100 9.20 0.000
PDF: 4.200 9.20 0.000
PDF: 4.300 9.20 0.000
PDF: 4.400 9.20 0.000
PDF: 4.500 9.20 0.000
PDF: 4.600 9.20 0.000
PDF: 4.700 9.20 0.000
PDF: 4.800 9.20 0.000
PDF: 4.900 9.20 0.000
PDF: -5.000 9.40 0.000
PDF: -4.900 9.40 0.000
PDF: -4.800 9.40 0.000
PDF: -4.700 9.40 0.000
PDF: -4.600 9.40 0.000
PDF: -4.500 9.40 0.000
PDF: -4.400 9.40 0.000
PDF: -4.300 9.40 0.000
PDF: -4.200 9.40 0.000
PDF: -4.100 9.40 0.000
PDF: -4.000 9.40 0.000
PDF: -3.900 9.40 0.000
PDF: -3.800 9.40 0.000
PDF: -3.700 9.40 0.000
PDF: -3.600 9.40 0.000
PDF: -3.500 9.40 0.000
PDF: -3.400 9.40 0.000
PDF: -3.300 9.40 0.000
PDF: -3.200 9.40 0.000
PDF: -3.100 9.40 0.000
PDF: -3.000 9.40 0.000
PDF: -2.900 9.40 0.000
PDF: -2.800 9.40 0.000
PDF: -2.700 9.40 0.000
PDF: -2.600 9.40 0.000
PDF: -2.500 9.40 0.000
PDF: -2.400 9.40 0.000
PDF: -2.300 9.40 0.000
PDF: -2.200 9.40 0.000
PDF: -2.100 9.40 0.000
PDF: -2.000 9.40 0.000
PDF: -1.900 9.40 0.000
PDF: -1.800 9.40 0.000
PDF: -1.700 9.40 0.000
PDF: -1.600 9.40 0.000
PDF: -1.500 9.40 0.000
PDF: -1.400 9.40 0.000
PDF: -1.300 9.40 0.001
PDF: -1.200 9.40 0.003
PDF: -1.100 9.40 0.005
PDF: -1.000 9.40 0.011
PDF: -0.900 9.40 0.021
PDF: -0.800 9.40 0.039
PDF: -0.700 9.40 0.069
PDF: -0.600 9.40 0.114
PDF: -0.500 9.40 0.179
PDF: -0.400 9.40 0.267
PDF: -0.300 9.40 0.377
PDF: -0.200 9.40 0.506
PDF: -0.100 9.40 0.644
PDF: -0.000 9.40 0.778
PDF: 0.100 9.40 0.891
PDF: 0.200 9.40 0.969
PDF: 0.300 9.40 1.000
PDF: 0.400 9.40 0.964
PDF: 0.500 9.40 0.849
PDF: 0.600 9.40 0.683
PDF: 0.700 9.40 0.502
PDF: 0.800 9.40 0.337
PDF: 0.900 9.40 0.207
PDF: 1.000 9.40 0.116
PDF: 1.100 9.40 0.059
PDF: 1.200 9.40 0.028
PDF: 1.300 9.40 0.012
PDF: 1.400 9.40 0.005
PDF: 1.500 9.40 0.002
PDF: 1.600 9.40 0.001
PDF: 1.700 9.40 0.000
PDF: 1.800 9.40 0.000
PDF: 1.900 9.40 0.000
PDF: 2.000 9.40 0.000
PDF: 2.100 9.40 0.000
PDF: 2.200 9.40 0.000
PDF: 2.300 9.40 0.000
PDF: 2.400 9.40 0.000
PDF: 2.500 9.40 0.000
PDF: 2.600 9.40 0.000
PDF: 2.700 9.40 0.000
PDF: 2.800 9.40 0.000
PDF: 2.900 9.40 0.000
PDF: 3.000 9.40 0.000
PDF: 3.100 9.40 0.000
PDF: 3.200 9.40 0.000
PDF: 3.300 9.40 0.000
PDF: 3.400 9.40 0.000
PDF: 3.500 9.40 0.000
